lon,lat,name,amenity
-122.0566887,37.3659123,Cherry Chase Elementary School,school
-122.0750568,37.3744904,Amy Imai Elementary School,school
-122.1066378,37.3715298,Covington Elementary School,school
-122.2799017,37.8188957,McClymonds High School,school
-122.2867435,37.8133889,Ralph J. Bunche Academy,school
-122.2096915,37.7743788,Fremont High School,school
-122.2360063,37.8042673,Oakland High School,school
-122.0714527,37.3579484,Oak Avenue Elementary School,school
-122.0664435,37.3590528,Mountain View High School,school
-121.2332335,37.8217748,East Union High School,school
-119.7253289,36.7736929,San Joaquin Valley College - Fresno Aviation,school
-117.2754786,33.1271018,Pinnacle Aviation Academy,school
-121.7463092,38.5489133,Martin Luther King Continuation High School,school
-122.0824682,37.3422387,Montclaire Elementary School,school
-121.2448933,37.7918831,Sierra High School,school
-121.2090145,37.7942037,Manteca High School,school
-122.1011745,37.3831757,Almond Elementary School,school
-122.1091104,37.3868205,Los Altos High School,school
-118.0993016,34.0984696,Del Mar High School,school
-117.9213134,33.7825906,Dr. C C Violette Elementary School,school
-117.9214523,33.7861362,Walton Intermediate,school
-117.9007498,33.7829104,Lampson Elementary School,school
-117.9102703,33.7865727,Earl Warren Elementary School,school
-122.4119689,37.7477621,Leonard R. Flynn Elementary School,school
-122.0481915,37.3806788,Vargas Elementary School,school
-122.122806,37.393888,Santa Rita Elementary School,school
-117.1494606,32.7395505,Roosevelt Middle School,school
-121.9004919,37.3533069,Muwekma Ohlone Middle School,school
-121.8878926,37.3508335,Grant Elementary School,school
-121.8753724,37.3546633,Empire Gardens Elementary School,school
-121.9467977,37.3983294,Don Callejon School,school
-121.8660818,37.337494,Selma Olinder Elementary School,school
-121.871365,37.3493065,San José High School,school
-121.8721957,37.3513949,Sunrise Middle School,school
-121.8732456,37.3523592,San Jose Community School,school
-121.88524,37.3395958,Horace Mann Elementary School,school
-121.8800138,37.3975798,Brooktree Elementary School,school
-121.8727928,37.3798802,Vinci Elementary School,school
-121.8654841,37.356483,Anne Darling Elementary School,school
-121.862197,37.3375137,McKinley Elementary School,school
-121.7951523,37.2348656,Santa Teresa Elementary School,school
-121.789001,37.2265061,Bernal Intermediate School,school
-121.8256732,37.2011835,Challenger School (Almaden),school
-121.8377402,37.3088259,Stonegate Elementary,school
-117.1714248,34.0618808,Franklin Elementary School,school
-123.2112366,39.2667683,Redwood Valley Elementary School,school
-123.2180021,39.2673554,Eagle Peak Middle School,school
-122.0990247,37.4088985,Monta Loma Elementary School,school
-121.553461,39.0106691,,school
-118.1230776,33.906304,St. John Bosco High School,school
-121.5560841,36.8805265,Anzar High School,school
-122.2580081,37.8343387,Emerson Elementary School,school
-122.2742674,37.8232682,Hoover Elementary School,school
-122.2317471,37.8526351,Henry J Kaiser Junior Elementary School,school
-122.2790399,37.8103502,KIPP: Bridge Academy,school
-122.2673476,37.7998193,Lincoln Elementary School,school
-122.2828011,37.806337,Martin Luther King Jr. Elementary School,school
-122.2588825,37.8496768,Peralta Elementary School,school
-122.2482418,37.8283426,Piedmont Avenue Elementary School,school
-122.2976293,37.8080266,Prescott School,school
-122.2638143,37.8466454,Sankofa United Elementary School,school
-118.133569,33.8411448,Mark Twain Elementary School,school
-118.0965633,33.8302223,McBride High School,school
-122.2210026,37.7733878,Ascend Elementary School,school
-122.2374842,37.8001231,Bella Vista Elementary School,school
-122.243816,37.8037544,Cleveland Elementary School,school
-122.227547,37.8111312,Crocker Highlands Elementary School,school
-122.2486229,37.7932423,Franklin Elementary School,school
-122.2352097,37.7862764,Garfield Elementary School,school
-122.2197386,37.8059039,Glenview Elementary School,school
-122.2129629,37.7799657,Jefferson Elementary School,school
-122.2307834,37.7794994,International Community Elementary School,school
-122.2026406,37.8193299,Joaquin Miller Elementary School,school
-122.2577263,37.795562,La Escuelita Education Center,school
-122.2317861,37.7758112,Lazear Elementary School,school
-122.2250461,37.7917832,Manzanita Community Elementary School,school
-122.1568132,37.7513527,Alternative Learning Community School,school
-122.2027456,37.8202045,Montera Middle School,school
-122.217281,37.7850114,Calvin Simmons Middle School,school
-122.2821904,37.8077763,West Oakland Middle School,school
-122.2611838,37.8147569,Westlake Middle School,school
-122.1645195,37.7592011,Castlemont High School,school
-122.2386355,37.7846433,Community School for Creative Education,school
-122.1908026,37.7590151,Rudsdale Continuation High School,school
-122.1617923,37.7982107,Skyline Senior High School,school
-122.2655803,37.8173894,Street Academy High School,school
-122.154489,37.76626,Bay Area Technology School,school
-121.5865207,37.030922,Antonio Del Buono Elementary,school
-121.5946303,37.000704,Ascencion Solorsano Middle School,school
-121.5762098,36.9951477,Gilroy High School,school
-121.5777959,37.011456,Brownell Middle School,school
-121.5851963,37.0074737,El Roble Elementary School,school
-121.5618887,37.006517,Eliot Elementary School,school
-121.5734164,37.0005571,Glen View School,school
-121.5805331,36.9897385,Las Animas Elementary,school
-121.6045792,37.024748,Luigi Aprea Elementary School,school
-121.5945944,37.0202799,Mount Madonna Continuation High School,school
-121.5925403,37.0208075,Rod Kelley Elementary,school
-122.2044845,37.7886015,Allendale Elementary School,school
-122.2076255,37.7673727,Bridges Academy Elementary School,school
-122.1670103,37.7749619,Burckhalter Elementary School,school
-122.1742728,37.7951767,Carl B Munck Elementary School,school
-122.2131489,37.7957923,Fruitvale Elementary School,school
-122.1947105,37.7648882,Greenleaf Elementary School,school
-122.2024052,37.7741867,Horace Mann Elementary School,school
-122.1962157,37.7928055,Laurel Elementary School,school
-122.1792028,37.7660475,Markham Elementary School,school
-122.1977929,37.7807837,Maxwell Park Elementary School,school
-122.186204,37.7975275,Redwood Heights Elementary School,school
-122.2105016,37.8020707,Sequoia Elementary School,school
-122.1880235,37.7866798,Urban Montessori Charter School,school
-121.5867394,37.0548895,Rucker Elementary School,school
-121.5688373,37.015715,South Valley Middle School,school
-121.5217469,37.0006529,Pacific Point Christian School,school
-121.5738819,37.0150275,Saint Mary Church and School,school
-121.3721354,36.8291906,Cerra Vista School,school
-121.3830813,36.8401462,Sunnyslope Elementary School,school
-118.0947295,33.7437314,J H McGaugh Elementary School,school
-121.6441873,36.6257549,Spreckles Elementary School,school
-119.8086547,38.766467,Diamond Valley School,school
-121.4169294,36.8561724,Calaveras School,school
-118.3778534,34.0288509,Echo Horizon School,school
-121.3852542,36.8553658,Gabilan Hills,school
-121.3917949,36.8292893,Ladd Lane Elementary School,school
-121.3947393,36.8422627,Rancho San Justo School,school
-121.3853906,36.8525984,Marguerite Maze Middle School,school
-121.4061727,36.8391601,San Benito Joint Union High School,school
-121.4116772,36.8464758,R O Hardin Elementary School,school
-121.4101835,36.8505966,Sacred Heart Parish and School,school
-121.3647465,36.8007563,Southside Elementary School,school
-121.3595643,36.9154181,Spring Grove Elementary School,school
-121.5326497,36.8419326,San Juan Union School,school
-121.3359578,36.8013122,,school
-121.6266442,37.1353382,Nordstrom Elementary School,school
-121.6577252,37.1305889,Lewis H. Britton Middle School,school
-121.6053709,37.1376017,Jackson Academy of Math and Music (JAMM),school
-121.6315642,37.123604,Barrett Elementary School,school
-121.6502486,37.13562,El Toro Health Science Academy,school
-121.6621955,37.1278731,P.A. Walsh STEAM Academy,school
-121.6792948,37.1545318,Central High School,school
-121.660108,37.1252289,Saint Catherine of Alexandria Catholic Church and School,school
-121.6364892,37.1484834,Live Oak High School,school
-118.1222805,33.8522136,Gompers Elementary School,school
-118.1147243,33.8402348,MacArthur Elementary School,school
-118.1058247,33.8446814,Cleveland Elementary School,school
-120.8055219,35.8629622,Bradley Elementary School,school
-122.1866775,37.7535022,Acorn Woodland Elementary,school
-122.1902324,37.7350175,Brookfield Village Elementary,school
-122.1755306,37.7595958,East Oakland Pride,school
-122.1744673,37.7369728,Fred T. Korematsu Discovery Academy,school
-122.1248449,37.7525458,Grass Valley Elementary School,school
-122.1524141,37.7621924,Charles P. Howard Elementary School,school
-122.1412009,37.7457251,East Bay Innovation Academy,school
-122.1796959,37.7516172,New Highland Academy,school
-122.1661927,37.7656704,Parker Elementary School,school
-122.1617586,37.7471671,Cox Academy,school
-122.1655333,37.7456917,Elmhurst United Middle School,school
-122.206369,37.7993185,Bret Harte Middle School,school
-122.2288025,37.8034638,Edna M. Brewer Middle School,school
-122.1768827,37.7749409,Explore College Prep Middle School,school
-122.184947,37.7717407,Frick Middle School,school
-122.1788082,37.7266809,Madison Park Academy,school
-122.1765924,37.7278306,Sobrante Park Elementary,school
-122.1895107,37.778363,Melrose Leadership Academy,school
-122.2614855,37.8338625,Oakland International High School,school
-121.6464979,37.119823,Building Kidz School,school
-121.6606872,37.1256994,St. Catherine of Alexandria Catholic School,school
-122.2736959,37.8634225,Walden Center and School,school
-121.5742216,37.0145189,Saint Mary School,school
-122.0944636,37.3719857,Springer Elementary School,school
-122.2945735,37.8651391,Rosa Parks Elementary School,school
-121.8826651,37.3285995,Notre Dame High,school
-121.9744807,37.3667628,Bracher Elementary School,school
-121.988418,37.3291145,Eisenhower Elementary School,school
-121.9872341,37.3335354,Sutter Elementary School,school
-121.9882741,37.3480299,Pomeroy Elementary,school
-121.9709177,37.3579376,Cabrillo Middle School,school
-121.9753702,37.358332,Bowers Elementary School,school
-121.9671527,37.4245065,George Mayne Elementary School,school
-121.3969063,36.8548207,San Andreas Continuation High School,school
-121.8395851,37.3949434,Noble Elementary School,school
-121.8457412,37.3924502,Piedmont Middle School,school
-122.0817081,37.3638823,Georgina P. Blach Intermediate School,school
-121.8508035,37.3902691,Summerdale Elementary School,school
-121.8390274,37.3902356,Toyon Elementary School,school
-122.4261202,37.7978033,Sherman Elementary School,school
-121.8575301,37.3696988,Independence High School,school
-121.8415777,37.3743558,Sheppard Middle School,school
-121.8426748,37.3763965,Ben Painter Elementary School,school
-121.8496288,37.3792754,Merryhill Elementary School,school
-121.8332113,37.3817504,McCollam Elementary School,school
-121.8363836,37.3694221,Lester W. Shields Elementary School,school
-121.8383551,37.3687795,Foothill High School,school
-121.8320386,37.3690154,Escuela Popular,school
-121.8308086,37.3666277,James Lick High School,school
-121.8241895,37.3781874,Linda Vista Elementary School,school
-121.8505449,37.3970279,St. Victor School,school
-121.8084916,37.2300289,Bertha Taylor Elementary School,school
-121.8473968,37.2350402,Discovery Charter School Falcon Campus,school
-121.8383329,37.2311784,Sakamoto Elementary,school
-121.851524,39.7381558,Citrus Avenue Elementary School,school
-122.1431255,37.4429706,Walter Hays Elementary School,school
-122.1557688,37.4358108,Palo Alto High School,school
-122.1518899,37.4386585,Castilleja High School,school
-121.9639248,37.3436374,Haman Elementary School,school
-121.9612015,37.3112173,Lynhaven Elementary,school
-123.2244612,39.1647488,Ukiah High School,school
-123.2153458,39.1617795,Frank Zeek Elementary School,school
-123.2157268,39.1563306,Pomolita Middle School,school
-123.2126076,39.1329049,Nokomis Elementary School,school
-123.2118197,39.1414865,Yokayo Elementary School,school
-123.205847,39.1226725,Grace Hudson Elementary School,school
-121.9430646,37.344093,Buchser Middle School,school
-121.9243786,37.3276394,Abraham Lincoln High School,school
-121.9242124,37.3315854,Hoover Middle School,school
-122.1341916,37.4497348,Duveneck Elementary School,school
-121.6100425,37.0890491,San Martin/Gwinn Environmental Science Academy,school
-121.6345772,37.1041952,Oakwood School,school
-122.0625445,37.3409297,West Valley Elementary School,school
-122.0581352,37.33937,Cupertino Middle School,school
-122.3853142,37.7315727,George Washington Carver Elementary School,school
-122.0594698,37.6444209,Moreau Catholic High School,school
-122.0724578,37.6510143,Harder Elementary School,school
-122.063076,37.642774,Bowman Elementary School,school
