longitude,latitude,name,amenity,zipcode,zip_distance_km
-117.9373891,33.7773563,Garden Grove Regional Library,library,92842,0.7661144417892916
-121.8941277,37.3415155,Santa Clara County Law Library,library,95025,0.24755066537807088
-122.4562484,37.7241348,Ingleside Branch Library,library,94127,1.2548700011671432
-120.837557,35.3132335,Los Osos Library,library,93412,0.524631215144863
-117.2375802,32.8811382,Geisel Library,library,92161,1.305891363428553
-122.1486797,37.4233732,College Terrace Library,library,94305,1.167719811424019
-122.4448527,37.7888849,Presidio Branch Library,library,94115,0.8753673197323826
-122.4375667,37.7841234,Western Addition Branch Library,library,94115,0.22597123006512648
-118.2466129,33.9440131,Alma Reaves Woods - Watts Branch Library,library,90002,0.6335003821351706
-121.572682,37.0050765,Gilroy Library,library,95021,0.5286556228624919
-123.1589939,39.1340875,DRBU Library,library,95481,0.9916564937514418
-122.4102156,37.7952262,Chinatown / Him Mark Lai Branch Library,library,94108,0.3290972406158716
-122.4981069,37.7511581,Ortega Branch Library,library,94116,1.301387587566527
-122.4972077,37.7785244,Anza Branch Library,library,94121,0.7038207098860118
-121.4809152,38.491316,"Martin Luther King, Jr. Regional Library",library,95822,2.2604926195332853
-119.5887228,37.7480983,Yosemite Branch Library,library,95389,5.607861229329733
-119.5795404,37.7399079,Yosemite Conservation Heritage Center,library,95389,6.1722556846056795
-118.1371862,34.1891869,Altadena Public Library,library,91001,0.29054356729071773
-117.1597285,33.1291217,Kellogg Library,library,92079,1.6948948759125617
-122.2182073,38.1040674,Springstowne Library,library,94591,0.8009108527627798
-117.8031946,34.1079968,San Dimas Library,library,91773,1.4119362869512757
-120.6712869,35.4831491,IMC Library,library,93422,1.096379725441144
-120.003458,35.3210149,California Valley Community Services,library,93453,23.602525506150734
-121.2341498,36.0068224,,library,93928,6.589081051806419
-122.0556253,36.9840767,CASFS Library,library,95064,1.3288034074758834
-117.8410916,33.6471316,Langson Library,library,92697,0.26862812140986214
-120.4970306,35.0289031,Nipomo Library,library,93444,0.7019092471118946
-117.9719959,33.7881927,Chapman Branch Library,library,92841,0.8380150523999094
-117.9192627,33.8315072,Anaheim Public Library,library,92815,0.6630374008080144
-117.8853808,33.8815207,Pollack Library,library,92831,1.0664026843043157
-118.3707668,33.7707194,Peninsula Center Library,library,90274,1.0032566543307737
-120.3755149,35.6552432,,library,93461,0.5413940314816986
-121.0277087,37.3163748,Newman Branch Stanislaus County Free Library,library,95360,4.727346305931835
-121.9570947,36.9891161,,library,95010,1.3878547211741878
-120.9935474,37.643165,Modesto Main Branch Stanislaus County Library,library,95353,0.5657644758518501
-121.8870621,37.3497984,Joyce Ellington Branch Library,library,95112,0.24451255291264531
-120.1846494,38.0643154,Mi-Wuk Village Library and Community Center,library,95346,0.5801587826562237
-117.9035743,33.6327029,Mariners Branch Newport Beach Public Library,library,92628,1.4066301845375784
-120.9055804,35.4522771,Friends of Cayucos Library,library,93430,1.5878528426331513
-122.2606746,38.1017159,John F. Kennedy Library,library,94592,0.9749182780687865
-117.8062182,33.7822205,El Modena Branch Orange Public Library,library,92869,1.2894399371021736
-117.8497313,33.7882421,Orange Public Library,library,92866,0.689398301027474
-118.0045424,33.7018942,Central Library,library,92605,1.4971842686689936
-117.8185921,33.8894515,Richard Nixon Presidential Library & Museum,library,92885,0.38013762295381404
-122.8140583,38.549455,Windsor Regional Library,library,95492,0.8209785273345346
-122.4336409,37.7339779,Glen Park Branch Library,library,94131,1.292263387012035
-120.3609131,36.1414314,Coalinga-Huron Library,library,93210,2.5689952612423035
-122.4063713,37.7271063,Portola Branch Library,library,94134,0.945053140052591
-118.1402637,34.6985443,Lancaster Public Library (L.A. County),library,93539,0.3313680988066265
-121.9647927,37.5219532,Irvington Branch Alameda County Library,library,94538,1.1344448001645746
-116.7138068,33.7437385,Idyllwild Public Library,library,92549,1.5107399887881248
-121.5233051,38.5802465,Arthur F Turner Community Library (Yolo County Library),library,95798,0.5045090021508235
-118.1780648,34.0559338,City Terrace Library,library,90063,1.404382744020154
-122.274122,38.2718412,1700 - McCarthy Library,library,94559,2.2399021536323858
-120.4850124,37.3068747,Merced County Library,library,95343,0.4671675470682236
-117.2923588,34.1066602,Law Library for San Bernardino County - San Bernardino,library,92402,0.29790356895224124
-117.8750059,33.7493338,Orange County Law Library,library,92712,0.029605115354040173
-117.8731983,33.7511428,Santa Ana Public Library,library,92712,0.23911802776251095
-117.9305366,33.8707118,Fullerton Public Library,library,92832,0.47939447525215684
-117.851185,33.7929198,Leatherby Library,library,92866,1.0055103947064317
-121.9432312,37.2882125,Campbell Library,library,95009,0.5053560342479889
-117.7781546,33.6757808,,library,92619,1.3886943472885238
-118.3100314,34.1084859,Louis B Mayer Library,library,90028,1.6705598633882293
-121.5119342,38.5240376,Belle Cooledge Community Library,library,95822,2.3089149277922156
-120.6639029,35.4891384,Atascadero Public Library,library,93422,1.5276687927019
-117.8457496,33.8155017,Taft Branch Orange Public Library,library,92867,0.5984626058848886
-117.1048072,34.2063461,,library,92382,0.7053779327239477
